Ámbito;Área de Cultivos (Hag);Área de Pastoreo  (Hag);Área de Bosques  (Hag); Zonas de Pesca   (Hag) ;Huella de Carbono  (Hag);Áreas Urbanas  (Hag);"Huella Regional Per Capita 
 (Hag)"
AMAZONAS;0,265;0,268;0,102;0,138;0,300;0,047;1,120
ÁNCASH;0,379;0,365;0,173;0,233;0,499;0,059;1,708
APURÍMAC;0,247;0,302;0,081;0,142;0,235;0,035;1,041
AREQUIPA;0,448;0,701;0,186;0,179;0,699;0,074;2,287
AYACUCHO;0,299;0,396;0,091;0,165;0,297;0,038;1,287
CAJAMARCA;0,301;0,321;0,072;0,187;0,296;0,037;1,215
CUSCO;0,353;0,532;0,121;0,166;0,425;0,058;1,655
HUANCAVELICA;0,218;0,269;0,058;0,113;0,212;0,032;0,901
HUÁNUCO;0,256;0,223;0,093;0,117;0,305;0,039;1,033
ICA;0,478;0,453;0,190;0,271;0,615;0,067;2,074
JUNÍN;0,392;0,416;0,124;0,214;0,444;0,049;1,638
LA LIBERTAD;0,418;0,418;0,168;0,244;0,594;0,054;1,894
LAMBAYEQUE;0,470;0,467;0,165;0,307;0,544;0,060;2,012
LIMA;0,628;0,695;0,273;0,366;1,113;0,099;3,175
LORETO;0,424;0,375;0,136;0,343;0,456;0,050;1,785
MADRE DE DIOS;0,565;0,640;0,251;0,293;0,686;0,099;2,533
MOQUEGUA;0,435;0,683;0,181;0,207;0,710;0,093;2,309
PASCO;0,320;0,371;0,100;0,159;0,372;0,052;1,373
PIURA;0,418;0,458;0,152;0,348;0,452;0,048;1,876
PUNO;0,257;0,436;0,079;0,105;0,271;0,036;1,185
SAN MARTÍN;0,351;0,340;0,135;0,264;0,425;0,056;1,570
TACNA;0,462;0,710;0,248;0,215;0,828;0,090;2,554
TUMBES;0,577;0,684;0,221;0,479;0,623;0,079;2,662
UCAYALI;0,451;0,390;0,167;0,476;0,535;0,063;2,082
