Ámbito;Area de Cultivos;Area de Pastoreo;Area de Bosques; Zonas de Pesca  ;Huella de Carbono;Areas Urbanas;Huella Regional Per Capita
AMAZONAS;0.32;0.314;0.115;0.198;0.249;0.044;1.24
ÁNCASH;0.345;0.322;0.131;0.289;0.383;0.053;1.522
APURÍMAC;0.239;0.334;0.053;0.168;0.172;0.027;0.992
AREQUIPA;0.421;0.766;0.166;0.25;0.556;0.07;2.229
AYACUCHO;0.272;0.383;0.074;0.229;0.22;0.034;1.212
CAJAMARCA;0.26;0.257;0.081;0.214;0.222;0.033;1.066
CUSCO;0.333;0.532;0.137;0.212;0.343;0.048;1.605
HUANCAVELICA;0.183;0.262;0.047;0.128;0.152;0.027;0.8
HUÁNUCO;0.233;0.213;0.085;0.148;0.229;0.033;0.941
ICA;0.448;0.46;0.184;0.35;0.492;0.062;1.997
JUNÍN;0.383;0.419;0.132;0.279;0.354;0.044;1.612
LA LIBERTAD;0.418;0.468;0.158;0.343;0.497;0.055;1.939
LAMBAYEQUE;0.405;0.443;0.15;0.355;0.41;0.05;1.813
LIMA;0.599;0.721;0.27;0.507;0.919;0.1;3.117
LORETO;0.395;0.413;0.136;0.522;0.342;0.045;1.854
MADRE DE DIOS;0.536;0.695;0.259;0.377;0.585;0.114;2.567
MOQUEGUA;0.382;0.667;0.188;0.223;0.552;0.083;2.096
PASCO;0.282;0.324;0.09;0.215;0.283;0.048;1.243
PIURA;0.393;0.469;0.13;0.519;0.361;0.045;1.917
PUNO;0.21;0.38;0.084;0.117;0.211;0.033;1.035
SAN MARTÍN;0.331;0.32;0.122;0.364;0.311;0.048;1.496
TACNA;0.44;0.736;0.192;0.295;0.645;0.082;2.39
TUMBES;0.474;0.606;0.193;0.608;0.455;0.069;2.405
UCAYALI;0.398;0.378;0.147;0.589;0.406;0.057;1.975
