Ámbito;Área de Cultivos;Área de Pastoreo;Área de Bosques; Zonas de Pesca  ;Huella de Carbono;Áreas Urbanas;Huella Regional Per Capita
AMAZONAS;0.309;0.230;0.122;0.237;0.373;0.055;1.325
ÁNCASH;0.443;0.335;0.162;0.355;0.538;0.054;1.889
APURÍMAC;0.303;0.341;0.076;0.252;0.358;0.054;1.384
AREQUIPA;0.510;0.708;0.194;0.373;0.857;0.080;2.723
AYACUCHO;0.310;0.343;0.092;0.296;0.342;0.050;1.433
CAJAMARCA;0.286;0.192;0.086;0.234;0.340;0.042;1.180
CUSCO;0.407;0.558;0.148;0.291;0.559;0.065;2.029
HUANCAVELICA;0.231;0.248;0.065;0.200;0.273;0.046;1.064
HUÁNUCO;0.323;0.253;0.117;0.261;0.386;0.049;1.389
ICA;0.583;0.494;0.176;0.484;0.731;0.064;2.531
JUNÍN;0.383;0.341;0.137;0.347;0.519;0.057;1.784
LA LIBERTAD;0.443;0.352;0.186;0.367;0.693;0.065;2.106
LAMBAYEQUE;0.587;0.533;0.216;0.708;0.716;0.069;2.830
LIMA;0.642;0.637;0.263;0.599;1.262;0.100;3.504
LORETO;0.411;0.344;0.127;0.511;0.493;0.060;1.947
MADRE DE DIOS;0.601;0.570;0.176;0.416;0.679;0.088;2.531
MOQUEGUA;0.468;0.624;0.236;0.294;0.790;0.093;2.505
PASCO;0.290;0.294;0.081;0.232;0.408;0.062;1.367
PIURA;0.543;0.478;0.178;0.694;0.609;0.065;2.566
PUNO;0.324;0.476;0.083;0.193;0.380;0.053;1.510
SAN MARTÍN;0.427;0.291;0.161;0.470;0.507;0.068;1.924
TACNA;0.539;0.631;0.193;0.356;0.838;0.088;2.645
TUMBES;0.493;0.507;0.240;0.645;0.637;0.074;2.596
UCAYALI;0.531;0.433;0.182;0.788;0.676;0.083;2.694
